director_name,actor_1_name,actor_2_name,actor_3_name,title_year,movie_title,genres,comb
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,2013.0,iron man 3,Action Adventure Sci-Fi,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,2006.0,x-men: the last stand,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,2013.0,monsters university,Adventure Animation Comedy Family Fantasy,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,2009.0,transformers: revenge of the fallen,Action Adventure Sci-Fi,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,2014.0,transformers: age of extinction,Action Adventure Sci-Fi,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,2014.0,the amazing spider-man 2,Action Adventure Fantasy Sci-Fi,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,2011.0,cars 2,Adventure Animation Comedy Family Sport,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,2011.0,green lantern,Action Adventure Sci-Fi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,2010.0,toy story 3,Adventure Animation Comedy Family Fantasy,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
McG,Christian Bale,Bryce Dallas Howard,Common,2009.0,terminator salvation,Action Adventure Sci-Fi,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,2015.0,furious 7,Action Crime Thriller,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,2013.0,world war z,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,2014.0,x-men: days of future past,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,2013.0,star trek into darkness,Action Adventure Sci-Fi,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,2013.0,jack the giant slayer,Adventure Fantasy,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,2010.0,prince of persia: the sands of time,Action Adventure Fantasy Romance,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,2013.0,pacific rim,Action Adventure Sci-Fi,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,2011.0,transformers: dark of the moon,Action Adventure Sci-Fi,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,2008.0,indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,2015.0,the good dinosaur,Adventure Animation Comedy Family Fantasy,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,2012.0,brave,Adventure Animation Comedy Family Fantasy,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,2016.0,star trek beyond,Action Adventure Sci-Fi Thriller,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,2008.0,wall·e,Adventure Animation Family Sci-Fi,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,2007.0,rush hour 3,Action Comedy Crime Thriller,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,2009.0,2012,Action Adventure Sci-Fi,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,2009.0,a christmas carol,Animation Drama Family Fantasy,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,2015.0,jupiter ascending,Action Adventure Sci-Fi,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,2005.0,"the chronicles of narnia: the lion, the witch and the wardrobe",Adventure Family Fantasy,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,2016.0,x-men: apocalypse,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,2008.0,the dark knight,Action Crime Drama Thriller,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,2009.0,up,Adventure Animation Comedy Family,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,2009.0,monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,2008.0,iron man,Action Adventure Sci-Fi,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,2011.0,hugo,Adventure Drama Family Mystery,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,1999.0,wild wild west,Action Comedy Sci-Fi Western,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,2008.0,the mummy: tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,2016.0,suicide squad,Action Adventure Comedy Sci-Fi,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,2007.0,evan almighty,Comedy Family Fantasy,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,2014.0,edge of tomorrow,Action Adventure Sci-Fi,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,1995.0,waterworld,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,2009.0,g.i. joe: the rise of cobra,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,2015.0,inside out,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,2010.0,iron man 2,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,2012.0,snow white and the huntsman,Action Adventure Drama Fantasy,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,2014.0,maleficent,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,2014.0,dawn of the planet of the apes,Action Adventure Drama Sci-Fi,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,2013.0,47 ronin,Action Adventure Drama Fantasy,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,2014.0,captain america: the winter soldier,Action Adventure Sci-Fi,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,2010.0,shrek forever after,Adventure Animation Comedy Family Fantasy,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,2015.0,tomorrowland,Action Adventure Family Mystery Sci-Fi,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,2014.0,big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,2012.0,wreck-it ralph,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,2004.0,the polar express,Adventure Animation Family Fantasy,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,2016.0,independence day: resurgence,Action Adventure Sci-Fi,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,2010.0,how to train your dragon,Adventure Animation Family Fantasy,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,2003.0,terminator 3: rise of the machines,Action Sci-Fi,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,2014.0,guardians of the galaxy,Action Adventure Sci-Fi,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,2014.0,interstellar,Adventure Drama Sci-Fi,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,2010.0,inception,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,2012.0,the hobbit: an unexpected journey,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,2008.0,the curious case of benjamin button,Drama Fantasy Romance,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,2011.0,x-men: first class,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,2015.0,the hunger games: mockingjay - part 2,Adventure Sci-Fi,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,2010.0,the sorcerer's apprentice,Action Adventure Family Fantasy,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,2006.0,poseidon,Action Adventure Drama Thriller,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,2016.0,alice through the looking glass,Adventure Family Fantasy,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,2007.0,shrek the third,Adventure Animation Comedy Family Fantasy,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,2016.0,warcraft,Action Adventure Fantasy,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,2015.0,terminator genisys,Action Adventure Sci-Fi,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,2010.0,the chronicles of narnia: the voyage of the dawn treader,Adventure Family Fantasy,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,2001.0,pearl harbor,Action Drama History Romance War,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,2007.0,transformers,Action Adventure Sci-Fi,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,2004.0,alexander,Action Adventure Biography Drama History Romance War,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,2007.0,harry potter and the order of the phoenix,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,2005.0,harry potter and the goblet of fire,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,2008.0,hancock,Action Drama,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,2007.0,i am legend,Drama Horror Sci-Fi,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,2005.0,charlie and the chocolate factory,Adventure Comedy Family Fantasy,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,2007.0,ratatouille,Animation Comedy Family Fantasy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,2005.0,batman begins,Action Adventure,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,2008.0,madagascar: escape 2 africa,Action Adventure Animation Comedy Family,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,2009.0,night at the museum: battle of the smithsonian,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,2009.0,x-men origins: wolverine,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,2003.0,the matrix revolutions,Action Sci-Fi,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,2013.0,frozen,Adventure Animation Comedy Family Fantasy Musical,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,2003.0,the matrix reloaded,Action Sci-Fi,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,2013.0,thor: the dark world,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,2015.0,mad max: fury road,Action Adventure Sci-Fi Thriller,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,2009.0,angels & demons,Mystery Thriller,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,2011.0,thor,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,2008.0,bolt,Adventure Animation Comedy Drama Family,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,2009.0,g-force,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,2012.0,wrath of the titans,Action Adventure Fantasy,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,2012.0,dark shadows,Comedy Fantasy Horror,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,2015.0,mission: impossible - rogue nation,Action Adventure Thriller,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,2010.0,the wolfman,Drama Fantasy Horror Thriller,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,2016.0,the legend of tarzan,Action Adventure Drama Romance,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,2007.0,bee movie,Adventure Animation Comedy Family,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,2011.0,kung fu panda 2,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,2010.0,the last airbender,Action Adventure Family Fantasy,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
